ticker,status,detail,period,report_type,source_url,persisted,revenue,employees
RAL,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/ral/bao-cao-tai-chinh.chn,True,1815626998000.0,
HPG,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/hpg/bao-cao-tai-chinh.chn,True,53312910121000.0,
VNM,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/vnm/bao-cao-tai-chinh.chn,True,16177992149000.0,
FPT,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/fpt/bao-cao-tai-chinh.chn,True,12485836704000.0,
GVR,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/gvr/bao-cao-tai-chinh.chn,True,8850107402000.0,
DGC,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/dgc/bao-cao-tai-chinh.chn,True,2416163018000.0,
MSN,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/msn/bao-cao-tai-chinh.chn,True,24075239000000.0,
PNJ,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/pnj/bao-cao-tai-chinh.chn,True,17366657544000.0,
REE,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/ree/bao-cao-tai-chinh.chn,True,2477131942000.0,
BMP,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/bmp/bao-cao-tai-chinh.chn,True,1337036252000.0,
VHC,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/vhc/bao-cao-tai-chinh.chn,True,2962735983000.0,
ANV,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/anv/bao-cao-tai-chinh.chn,True,1992437042000.0,
IDI,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/idi/bao-cao-tai-chinh.chn,True,1495679206000.0,
SBT,cafef_ok,cafef_ok,2024-12-31,quarterly,https://cafef.vn/du-lieu/sbt/bao-cao-tai-chinh.chn,True,6870949138000.0,
QNS,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/qns/bao-cao-tai-chinh.chn,True,2781469242000.0,
HSG,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/hsg/bao-cao-tai-chinh.chn,True,8610143245000.0,
NKG,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/nkg/bao-cao-tai-chinh.chn,True,3277761407000.0,
POM,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/pom/bao-cao-tai-chinh.chn,True,465978659000.0,
TLH,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/tlh/bao-cao-tai-chinh.chn,True,1032465522000.0,
DQC,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/dqc/bao-cao-tai-chinh.chn,True,283282688000.0,
GEE,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/gee/bao-cao-tai-chinh.chn,True,9579704379000.0,
TYA,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/tya/bao-cao-tai-chinh.chn,True,499737040000.0,
DPR,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/dpr/bao-cao-tai-chinh.chn,True,379743483000.0,
CSM,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/csm/bao-cao-tai-chinh.chn,True,1227499323000.0,
AAA,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/aaa/bao-cao-tai-chinh.chn,True,2224691827000.0,
DCM,cafef_ok,cafef_ok,2026-03-31,quarterly,https://cafef.vn/du-lieu/dcm/bao-cao-tai-chinh.chn,True,5430798275000.0,
BFC,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/bfc/bao-cao-tai-chinh.chn,True,1724554723000.0,
CSV,cafef_ok,cafef_ok,2026-06-30,quarterly,https://cafef.vn/du-lieu/csv/bao-cao-tai-chinh.chn,True,687441585000.0,
