stock_code,website_ok,has_checkout,shopee_url,tiktok_url,flag_vs_url_mismatch,lazada_url,has_ecommerce,detected_url,detect_detail,db_mismatch,fixed
RAL,True,True,https://shopee.vn/rangdong_official,,,,True,https://rangdong.com.vn,ok,,
HPG,True,False,,,,,True,https://www.hoaphat.com.vn,ok,,
VNM,True,True,https://shopee.vn/vinamilk_official,https://www.tiktok.com/@vinamilk,,,True,https://vinamilk.com.vn,ok,,
FPT,True,True,https://shopee.vn/fpt_official,,,,True,https://fptshop.com.vn,ok,,
GVR,True,False,,,,,True,https://vrg.vn,ok,,
DGC,True,True,,,,,True,https://ducgiangchem.vn,ok,,
MSN,True,False,https://shopee.vn/masan_consumer,,,,False,https://winmart.vn,ok,,
PNJ,True,False,https://shopee.vn/pnj_official,https://www.tiktok.com/@pnj,,,True,https://pnj.com.vn,ok,,
REE,True,True,,,,,True,https://reecorp.com,ok,,
BMP,True,False,,,,,True,https://binhminhplastic.com.vn,ok,,
VHC,True,True,,,,,True,https://vinhhoan.com,ok,,
ANV,True,False,,,,,True,https://navicorp.com.vn,ok,,
IDI,True,False,,,,,True,https://idiseafood.com,ok,,
SBT,True,False,,,,,True,https://ttcagris.com.vn,ok,,
QNS,True,True,,,,,True,https://qns.com.vn,ok,,
HSG,True,True,,,,,True,https://hoasengroup.vn,ok,,
NKG,True,False,,,,,True,https://tonnamkim.com,ok,,
POM,True,False,,,,,True,http://www.pomina-steel.com,ok,,
TLH,True,True,,,,,True,https://www.tienlengroup.vn,ok,,
DQC,True,True,https://shopee.vn/dienquang_officialstore,,,,True,https://dienquang.com,ok,,
GEE,False,,,,,,,https://gelex-electric.com,error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),,
TYA,True,False,,,,,True,https://taya.com.vn,ok,,
DPR,True,False,,,,,True,https://doruco.com.vn,ok,,
CSM,True,True,,,,,True,https://casumina.com,ok,,
AAA,True,True,,,,,True,https://anphatbioplastics.com,ok,,
DCM,True,False,,,,,True,https://www.pvcfc.com.vn,ok,,
BFC,True,False,,,,,True,https://binhdien.com,ok,,
CSV,True,True,,,,,True,https://sochemvn.com,ok,,
