stock_code,website_ok,has_checkout,shopee_url,tiktok_url,flag_vs_url_mismatch,lazada_url,has_ecommerce,detected_url,detect_detail,db_mismatch,fixed
RAL,True,True,https://shopee.vn/rangdong_official,,,,True,https://rangdong.com.vn,ok,,
HPG,True,False,,,,,True,https://www.hoaphat.com.vn,ok,,
VNM,True,True,https://shopee.vn/vinamilk_official,https://www.tiktok.com/@vinamilk,,,True,https://vinamilk.com.vn,ok,,
FPT,True,True,https://shopee.vn/fpt_official,,,,True,https://fptshop.com.vn,ok,,
GVR,True,False,,,,,True,https://vrg.vn,ok,,
DGC,True,True,,,,,True,https://ducgiangchem.vn,ok,,
MSN,True,False,https://shopee.vn/masan_consumer,,,,False,https://winmart.vn,ok,,
PNJ,True,False,https://shopee.vn/pnj_official,https://www.tiktok.com/@pnj,,,True,https://pnj.com.vn,ok,,
REE,True,True,,,,,True,https://reecorp.com,ok,,
BMP,True,False,,,,,True,https://binhminhplastic.com.vn,ok,,
VHC,True,True,,,,,True,https://vinhhoan.com,ok,,
ANV,True,False,,,,,True,https://navicorp.com.vn,ok,,
IDI,False,,,,,,,https://idi.com.vn,"error:ConnectError:[Errno 8] nodename nor servname provided, or not known",,
SBT,False,,,,,,,https://ttcsugar.com.vn,"error:ConnectError:[Errno 8] nodename nor servname provided, or not known",,
QNS,True,True,,,,,True,https://qns.com.vn,ok,,
HSG,True,True,,,,,True,https://hoasengroup.vn,ok,,
NKG,False,,,,,,,https://namkimgroup.vn,error:ConnectTimeout:timed out,,
POM,False,,,,,,,https://pomina-steel.com,error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:1032),,
TLH,False,,,,,,,https://tienlensteel.com.vn,error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),,
DQC,True,True,https://shopee.vn/dienquang_officialstore,,,,True,https://dienquang.com,ok,,
GEE,False,,,,,,,https://gelexelectric.com.vn,error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1032),,
TYA,True,False,,,,,True,https://taya.com.vn,ok,,
DPR,False,,,,,,,https://dpr.com.vn,error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1032),,
CSM,True,True,,,,,True,https://casumina.com,ok,,
AAA,True,True,,,,,True,https://anphatbioplastics.com,ok,,
DCM,False,,,,,,,https://damcamau.vn,error:ConnectError:[Errno 54] Connection reset by peer,,
BFC,True,False,,,,,True,https://binhdien.com,ok,,
CSV,False,,,,,,,https://hcb.com.vn,"error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'hcb.com.vn'. (_ssl.c:1032)",,
