firm_id,source_cohort,website_url,fetch_ok,fetch_detail,tier,has_product_catalog,has_order_cart,payment_methods,social_link_count,marketplace_link_count,website_language,confidence,abstain,decision,model_id,evidence
RAL,listed28,https://rangdong.com.vn,True,ok,1,True,True,,2,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""cart""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/ralaco1961/""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/channel/UCLT2YwlvmXUUDXWqPRPzojA""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
RAL,listed28,https://rangdong.com.vn,True,ok,2,,,,0,0,,0.6333,False,ok,qwen3:8b,
HPG,listed28,https://www.hoaphat.com.vn,True,ok,1,True,False,,21,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/channel/UCj76PT6i5OBqBMgEGCHYdTA""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/tapdoanhoaphat1992/""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/aNANN69TQyU?si=YJ5a1Gj775sLijAD""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/slUDCH0vnzs?si=kdIP_YOSvEdEpiie""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/fp_v_pRD2tI?si=hnuHM-QRtGelg8hJ""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/PUzQLNxjfBU?si=VPRPxITyLqmqPUeR""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/1FtM0H6yVQg?si=2s07RBKWlHMCCIKx""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/cLn5h643aho?si=JmoT4zP7TzSU1Wkd""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/1Bu-1ZiqJJo?si=kgn2tqn_qEbiCEMx""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/XSQ4czzHMwk?si=FEcoABO8sx20APCd""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/wrUKV1uXjDM?si=YLbwYKqln6N7_m75""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/sharer/sharer.php?app_id=385713232082700&u=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-""}, {""kind"": ""social_href"", ""detail"": ""x:http://twitter.com/share?text=Hòa Phát nộp ngân sách 13.000 tỷ đồng tại 20 tỉnh thành trên cả nước trong năm 2025&url=ht""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/shareArticle?mini=true&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-nop-ngan-sa""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/sharer/sharer.php?app_id=385713232082700&u=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-""}, {""kind"": ""social_href"", ""detail"": ""x:http://twitter.com/share?text=Hòa Phát mang “Xuân yêu thương” đến 3.000 hộ gia đình có hoàn cảnh khó khăn trên cả nước&u""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/shareArticle?mini=true&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-mang--xuan-""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/sharer/sharer.php?app_id=385713232082700&u=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-""}, {""kind"": ""social_href"", ""detail"": ""x:http://twitter.com/share?text=Hòa Phát và những hoạt động xã hội, từ thiện có ý nghĩa năm 2025&url=https://www.hoaphat.c""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/shareArticle?mini=true&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-va-nhung-ho""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/user/nghihd/""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
HPG,listed28,https://www.hoaphat.com.vn,True,ok,2,,,,0,0,,0.3917,False,ok,qwen3:8b,
VNM,listed28,https://vinamilk.com.vn,True,ok,1,True,True,cod,5,1,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""giỏ hàng""}, {""kind"": ""payment_marker"", ""detail"": ""cod:cod""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/LifeAtVinamilk""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/vinamilkofficial""}, {""kind"": ""social_href"", ""detail"": ""instagram:https://www.instagram.com/vinamilk_lovenature/""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/company/vinamilk""}, {""kind"": ""marketplace_href"", ""detail"": ""tiktok:https://www.tiktok.com/@vinamilk.official""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/channel/UCS9JKqDiIJqps1S8kpcx2Xg""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
VNM,listed28,https://vinamilk.com.vn,True,ok,2,,,,0,0,,0.55,False,ok,qwen3:8b,
FPT,listed28,https://fpt.com.vn,True,ok,1,True,False,,5,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/91936967046/""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtube.com/c/FPTCorporation""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/company/fpt-corporation""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://facebook.com/91936967046""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://linkedin.com/company/fpt-corporation""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
FPT,listed28,https://fpt.com.vn,True,ok,2,,,,0,0,,0.25,False,ok,qwen3:8b,
GVR,listed28,https://vrg.vn,True,ok,1,True,False,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
GVR,listed28,https://vrg.vn,True,ok,2,,,,0,0,,0.35,False,ok,qwen3:8b,
DGC,listed28,https://ducgiangchem.vn,True,ok,1,True,True,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""cart""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
DGC,listed28,https://ducgiangchem.vn,True,ok,2,,,,0,0,,0.3333,False,ok,qwen3:8b,
MSN,listed28,https://masangroup.com,True,ok,1,False,False,,0,0,mixed,1.0,False,rules,,"[{""kind"": ""language_hint"", ""detail"": ""mixed""}]"
MSN,listed28,https://masangroup.com,True,ok,2,,,,0,0,,0.25,False,ok,qwen3:8b,
PNJ,listed28,https://pnj.com.vn,True,ok,1,True,False,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
PNJ,listed28,https://pnj.com.vn,True,ok,2,,,,0,0,,0.25,False,ok,qwen3:8b,
REE,listed28,https://reecorp.com,True,ok,1,True,False,,3,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""product""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/REEcorp.1977/""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/company/reecorp1977/""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/c/REECorporation1977""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
REE,listed28,https://reecorp.com,True,ok,2,,,,0,0,,0.25,False,ok,qwen3:8b,
BMP,listed28,https://binhminhplastic.com.vn,True,ok,1,True,False,,3,1,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/binhminhplastic""}, {""kind"": ""social_href"", ""detail"": ""zalo:https://zalo.me/nhuabinhminh""}, {""kind"": ""marketplace_href"", ""detail"": ""tiktok:https://www.tiktok.com/@binhminhplastic""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/@congtycophannhuabinhminh1905""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
BMP,listed28,https://binhminhplastic.com.vn,True,ok,2,,,,0,0,,0.3333,False,ok,qwen3:8b,
VHC,listed28,https://vinhhoan.com,True,ok,1,True,True,,3,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""product""}, {""kind"": ""cart_keyword"", ""detail"": ""cart""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/vinhhoancorp""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/channel/UCGaIYk8aymM97i46phAKusA""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/company/6592449/admin/""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
VHC,listed28,https://vinhhoan.com,True,ok,2,,,,0,0,,0.4667,False,ok,qwen3:8b,
ANV,listed28,https://navicorp.com.vn,True,ok,1,True,False,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
ANV,listed28,https://navicorp.com.vn,True,ok,2,,,,0,0,,0.4833,False,ok,qwen3:8b,
IDI,listed28,https://idiseafood.com,True,ok,1,True,False,,2,0,en,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""product""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/idicorporationofficial?mibextid=LQQJ4d""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/@saomaigroup6051/videos""}, {""kind"": ""language_hint"", ""detail"": ""en""}]"
IDI,listed28,https://idiseafood.com,True,ok,2,,,,0,0,,0.3333,False,ok,qwen3:8b,
SBT,listed28,https://ttcagris.com.vn,True,ok,1,True,False,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""product""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
SBT,listed28,https://ttcagris.com.vn,True,ok,2,,,,0,0,,0.5,False,ok,qwen3:8b,
QNS,listed28,https://qns.com.vn,True,ok,1,True,True,,2,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""cart""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/INFO.QNS.COM.VN/""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/@CongtyCophanDuongQuangNgai""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
QNS,listed28,https://qns.com.vn,True,ok,2,True,,,0,0,vi,0.3333,False,ok,qwen3:8b,
HSG,listed28,https://hoasengroup.vn,True,ok,1,True,True,,8,2,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""cart""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/hoasengroup.vn""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/@hoasengroupofficial""}, {""kind"": ""marketplace_href"", ""detail"": ""tiktok:https://www.tiktok.com/@hoasengroup.vn""}, {""kind"": ""social_href"", ""detail"": ""zalo:https://zalo.me/3569717439646182173""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/tonhoasen.hsg""}, {""kind"": ""marketplace_href"", ""detail"": ""tiktok:https://www.tiktok.com/@nghesycuacongchung""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/@CongtyCPTapdoanHoaSen""}, {""kind"": ""social_href"", ""detail"": ""tiktok:https://www.tiktok.com/@hoasengroup.vn""}, {""kind"": ""social_href"", ""detail"": ""zalo:https://zalo.me/2867298229687548991""}, {""kind"": ""social_href"", ""detail"": ""tiktok:https://www.tiktok.com/@nghesycuacongchung""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
HSG,listed28,https://hoasengroup.vn,True,ok,2,,,,0,0,,0.4333,False,ok,qwen3:8b,
NKG,listed28,https://tonnamkim.com,True,ok,1,True,False,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
NKG,listed28,https://tonnamkim.com,True,ok,2,,,,0,0,,0.3833,False,ok,qwen3:8b,
POM,listed28,http://www.pomina-steel.com,True,ok,1,True,False,,1,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""social_href"", ""detail"": ""youtube:http://www.youtube.com""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
POM,listed28,http://www.pomina-steel.com,True,ok,2,,,,0,0,,0.1667,False,ok,qwen3:8b,
TLH,listed28,https://www.tienlengroup.vn,True,ok,1,True,True,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""đặt hàng""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
TLH,listed28,https://www.tienlengroup.vn,True,ok,2,,,,0,0,,0.25,False,ok,qwen3:8b,
DQC,listed28,https://dienquang.com,True,ok,1,True,True,,3,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""giỏ hàng""}, {""kind"": ""cart_href"", ""detail"": ""/cart""}, {""kind"": ""cart_href"", ""detail"": ""/cart""}, {""kind"": ""cart_href"", ""detail"": ""/cart""}, {""kind"": ""cart_href"", ""detail"": ""/cart""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/dienquanglamp/""}, {""kind"": ""social_href"", ""detail"": ""linkedin:https://www.linkedin.com/company/dienquanggroup/""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/channel/UCIjsb_poJsbKXNtoaYd-jiw/featured""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
DQC,listed28,https://dienquang.com,True,ok,2,True,True,cod,0,0,vi,0.5833,False,ok,qwen3:8b,
GEE,listed28,https://gelex-electric.com,False,error:ConnectError:[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),,,,,,,,0.0,True,skip,,
TYA,listed28,https://taya.com.vn,True,ok,1,True,False,,1,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""social_href"", ""detail"": ""zalo:https://zalo.me/""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
TYA,listed28,https://taya.com.vn,True,ok,2,,,,0,0,,0.3167,False,ok,qwen3:8b,
DPR,listed28,https://doruco.com.vn,True,ok,1,True,False,,0,0,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
DPR,listed28,https://doruco.com.vn,True,ok,2,,,,0,0,,0.4833,False,ok,qwen3:8b,
CSM,listed28,https://casumina.com,True,ok,1,True,True,,6,1,vi,1.0,False,rules,,"[{""kind"": ""catalog_keyword"", ""detail"": ""sản phẩm""}, {""kind"": ""cart_keyword"", ""detail"": ""cart""}, {""kind"": ""cart_href"", ""detail"": ""https://casumina.com/customer/cart""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://youtu.be/Z5Z-xmRSbzg?si=IDWXxTdiWHtsu92f""}, {""kind"": ""social_href"", ""detail"": ""facebook:https://www.facebook.com/Casuminavn""}, {""kind"": ""social_href"", ""detail"": ""zalo:https://zalo.me/2187648418711741062""}, {""kind"": ""social_href"", ""detail"": ""youtube:https://www.youtube.com/@casuminaofficial6579""}, {""kind"": ""marketplace_href"", ""detail"": ""tiktok:https://www.tiktok.com/@casumina_official""}, {""kind"": ""social_href"", ""detail"": ""instagram:https://www.instagram.com/casumina_official""}, {""kind"": ""social_href"", ""detail"": ""tiktok:https://www.tiktok.com/@casumina_official""}, {""kind"": ""language_hint"", ""detail"": ""vi""}]"
CSM,listed28,https://casumina.com,True,ok,2,True,,none,0,0,vi,0.6667,False,ok,qwen3:8b,
