firm_id,field,kind,tier1_value,tier2_value,tier2_abstain,note,evidence
RAL,has_product_catalog,abstain,True,,True,tier2_null_value,
RAL,has_order_cart,abstain,True,,True,tier2_null_value,
RAL,payment_methods,agree,[],[],False,,
RAL,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/ralaco1961/'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/channel/UCLT2YwlvmXUUDXWqPRPzojA'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
RAL,marketplace_links,agree,[],[],False,,
RAL,website_language,agree,vi,,False,unknown_compatible,
HPG,has_product_catalog,abstain,True,,True,tier2_null_value,
HPG,has_order_cart,abstain,False,,True,Không có thông tin về giỏ hàng hoặc checkout trên trang.,
HPG,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
HPG,social_links,abstain,"[{'platform': 'youtube', 'url': 'https://www.youtube.com/channel/UCj76PT6i5OBqBMgEGCHYdTA'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/tapdoanhoaphat1992/'}, {'platform': 'youtube', 'url': 'https://youtu.be/aNANN69TQyU?si=YJ5a1Gj775sLijAD'}, {'platform': 'youtube', 'url': 'https://youtu.be/slUDCH0vnzs?si=kdIP_YOSvEdEpiie'}, {'platform': 'youtube', 'url': 'https://youtu.be/fp_v_pRD2tI?si=hnuHM-QRtGelg8hJ'}, {'platform': 'youtube', 'url': 'https://youtu.be/PUzQLNxjfBU?si=VPRPxITyLqmqPUeR'}, {'platform': 'youtube', 'url': 'https://youtu.be/1FtM0H6yVQg?si=2s07RBKWlHMCCIKx'}, {'platform': 'youtube', 'url': 'https://youtu.be/cLn5h643aho?si=JmoT4zP7TzSU1Wkd'}, {'platform': 'youtube', 'url': 'https://youtu.be/1Bu-1ZiqJJo?si=kgn2tqn_qEbiCEMx'}, {'platform': 'youtube', 'url': 'https://youtu.be/XSQ4czzHMwk?si=FEcoABO8sx20APCd'}, {'platform': 'youtube', 'url': 'https://youtu.be/wrUKV1uXjDM?si=YLbwYKqln6N7_m75'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/sharer/sharer.php?app_id=385713232082700&u=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-nop-ngan-sach-13-000-ty-dong-tai-20-tinh-thanh-tren-ca-nuoc-trong-nam-2025.html'}, {'platform': 'x', 'url': 'http://twitter.com/share?text=Hòa Phát nộp ngân sách 13.000 tỷ đồng tại 20 tỉnh thành trên cả nước trong năm 2025&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-nop-ngan-sach-13-000-ty-dong-tai-20-tinh-thanh-tren-ca-nuoc-trong-nam-2025.html'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-nop-ngan-sach-13-000-ty-dong-tai-20-tinh-thanh-tren-ca-nuoc-trong-nam-2025.html&title=Hòa Phát nộp ngân sách 13.000 tỷ đồng tại 20 tỉnh thành trên cả nước trong năm 2025&summary=Năm 2025, Tập đoàn Hòa Phát đã đóng góp ngân sách Nhà nước 13.000 tỷ đồng tại 20 tỉnh thành trên cả nước. Trong đó, Thép Hòa Phát Dung Quất, Thép Hòa Phát Hải Dương là ...&source=HoaPhat'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/sharer/sharer.php?app_id=385713232082700&u=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-mang--xuan-yeu-thuong--den-3-000-ho-gia-dinh-co-hoan-canh-kho-khan-tren-ca-nuoc.html'}, {'platform': 'x', 'url': 'http://twitter.com/share?text=Hòa Phát mang “Xuân yêu thương” đến 3.000 hộ gia đình có hoàn cảnh khó khăn trên cả nước&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-mang--xuan-yeu-thuong--den-3-000-ho-gia-dinh-co-hoan-canh-kho-khan-tren-ca-nuoc.html'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-mang--xuan-yeu-thuong--den-3-000-ho-gia-dinh-co-hoan-canh-kho-khan-tren-ca-nuoc.html&title=Hòa Phát mang “Xuân yêu thương” đến 3.000 hộ gia đình có hoàn cảnh khó khăn trên cả nước&summary=Trước thềm Tết Nguyên đán Bính Ngọ 2026, Hòa Phát đã trao 3.000 suất quà Tết cho người nghèo, hộ gia đình có hoàn cảnh khó khăn tại nhiều địa phương trên cả nước như: ...&source=HoaPhat'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/sharer/sharer.php?app_id=385713232082700&u=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-va-nhung-hoat-dong-xa-hoi-tu-thien-co-y-nghia-nam-2025.html'}, {'platform': 'x', 'url': 'http://twitter.com/share?text=Hòa Phát và những hoạt động xã hội, từ thiện có ý nghĩa năm 2025&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-va-nhung-hoat-dong-xa-hoi-tu-thien-co-y-nghia-nam-2025.html'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.hoaphat.com.vn/van-hoa-doanh-nghiep/hoa-phat-va-nhung-hoat-dong-xa-hoi-tu-thien-co-y-nghia-nam-2025.html&title=Hòa Phát và những hoạt động xã hội, từ thiện có ý nghĩa năm 2025&summary=Hơn 30 năm qua, Hòa Phát luôn thực hiện trách nhiệm xã hội của doanh nghiệp với phương châm “Hòa hợp cùng phát triển”. Trong năm 2025, Tập đoàn Hòa Phát triển khai nhiều ...&source=HoaPhat'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/user/nghihd/'}]",[],True,Không có liên kết mạng xã hội.,
