company_name,tax_code,vsic_4digit,vsic_division,address,province,founded_year,source_url,listing_url,retrieved_at
KHÁCH SẠN HÒA BÌNH - CHI NHÁNH CÔNG TY CỔ PHẦN XÂY DỰNG VÀ DỊCH VỤ 369,0101164727-001,1010,10,"Số 279, Khối Hòa Bắc, Thị trấn Thạch Giám, Huyện Tương Dương, Tỉnh Nghệ An, Việt Nam",Nghệ An,,https://www.masothue.com/0101164727-001-khach-san-hoa-binh-chi-nhanh-cong-ty-co-phan-xay-dung-va-dich-vu-369,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010,2026-08-24T09:02:25Z
CHI NHÁNH CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI KIÊN HÙNG,0101552800-003,1010,10,"Lô C4-1, C4-3, C4-4, Khu công nghiệp Hòa Xá, Xã Lộc Hoà, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam",Nam Định,,https://www.masothue.com/0101552800-003-chi-nhanh-cong-ty-co-phan-san-xuat-va-thuong-mai-kien-hung,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=3,2026-08-24T09:02:28Z
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ ANH QUÂN TẠI HẢI DƯƠNG,0103472639-002,1010,10,"Cụm công nghiệp Ba Hàng, Phường Ái Quốc, Thành phố Hải Dương, Tỉnh Hải Dương, Việt Nam",Hải Dương,,https://www.masothue.com/0103472639-002-chi-nhanh-cong-ty-tnhh-thuong-mai-quoc-te-anh-quan-tai-hai-duong,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=4,2026-08-24T09:02:30Z
CÔNG TY TNHH THƯƠNG MẠI & XUẤT NHẬP KHẨU NHẤT LÂM,0104076740,1010,10,"Lô H18-H19, ngõ 68 Trung Kính, Phường Yên Hòa, Thành phố Hà Nội, Việt Nam",Hà Nội,,https://www.masothue.com/0104076740-cong-ty-tnhh-thuong-mai-xuat-nhap-khau-nhat-lam,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=5,2026-08-24T09:02:31Z
CHI NHÁNH 2 - CÔNG TY CỔ PHẦN DINH DƯỠNG NUTRICARE,0104937284-004,1010,10,"Lô V.11 và V.12, Khu Công Nghiệp Thuận Thành 3, Xã Thanh Khương, Huyện Thuận Thành, Tỉnh Bắc Ninh, Việt Nam",Bắc Ninh,,https://www.masothue.com/0104937284-004-chi-nhanh-2-cong-ty-co-phan-dinh-duong-nutricare,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=5,2026-08-24T09:02:31Z
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ RDOQ VIỆT NAM,0105196007,1010,10,"Xóm 2 thôn Phú Đô, Xã Mễ Trì, Huyện Từ Liêm, Thành phố Hà Nội, Việt Nam",Hà Nội,,https://www.masothue.com/0105196007-cong-ty-tnhh-thuong-mai-va-dich-vu-rdoq-viet-nam,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010,2026-08-24T09:02:25Z
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ XÂY DỰNG ĐỨC THÁI,0105365865,1010,10,"Số 5, phố Vũ Lợi, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Hà Nội,,https://www.masothue.com/0105365865-cong-ty-co-phan-thuong-mai-va-dau-tu-xay-dung-duc-thai,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010,2026-08-24T09:02:25Z
CÔNG TY TNHH KINH DOANH VÀ PHÁT TRIỂN QUANG MINH,0105906553,1010,10,"Số 4, ngõ 159 phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Hà Nội,,https://www.masothue.com/0105906553-cong-ty-tnhh-kinh-doanh-va-phat-trien-quang-minh,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=3,2026-08-24T09:02:28Z
CÔNG TY TNHH THỰC PHẨM SƠN HÀ,0106069682,1010,10,"Số 5, ngách 207/91 đường Xuân Đỉnh, Xã Xuân Đỉnh, Huyện Từ Liêm, Thành phố Hà Nội, Việt Nam",Hà Nội,,https://www.masothue.com/0106069682-cong-ty-tnhh-thuc-pham-son-ha,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=5,2026-08-24T09:02:31Z
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THƯƠNG MẠI THANH HÙNG,0106149881,1010,10,"số 14 Mạc Thị Bưởi, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Hà Nội,,https://www.masothue.com/0106149881-cong-ty-co-phan-xuat-nhap-khau-thuong-mai-thanh-hung,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/che-bien-bao-quan-thit-va-cac-san-pham-tu-thit-1010?page=4,2026-08-24T09:02:30Z
