vsic_division,province,n_firms
10,An Giang,10
10,Bà Rịa - Vũng Tàu,5
10,Bình Dương,4
10,Bình Phước,3
10,Bình Thuận,7
10,Bình Định,1
10,Bạc Liêu,2
10,Bắc Giang,2
10,Bắc Ninh,2
10,Bến Tre,9
10,Cà Mau,23
10,Cần Thơ,12
10,Huế,1
10,Hà Giang,1
10,Hà Nội,19
10,Hà Tĩnh,3
10,Hòa Bình,1
10,Hưng Yên,1
10,Hải Dương,2
10,Hải Phòng,6
10,Hậu Giang,1
10,Hồ Chí Minh,69
10,Khánh Hòa,3
10,Kiên Giang,14
10,Long An,11
10,Nam Định,3
10,Nghệ An,1
10,Ninh Bình,2
10,Phú Thọ,2
10,Phú Yên,1
10,Quảng Bình,1
10,Quảng Nam,4
10,Quảng Ngãi,2
10,Quảng Ninh,10
10,Quảng Trị,1
10,Sóc Trăng,3
10,Sơn La,4
10,Thanh Hóa,7
10,Tiền Giang,4
10,Trà Vinh,5
10,Tây Ninh,4
10,Vĩnh Long,4
10,Vĩnh Phúc,2
10,Đà Nẵng,7
10,Đắk Lắk,2
10,Đồng Nai,11
10,Đồng Tháp,8
22,An Giang,1
22,Bà Rịa - Vũng Tàu,1
22,Bình Dương,26
22,Bình Phước,7
22,Bình Định,5
22,Bắc Ninh,1
22,Cần Thơ,3
22,Huế,3
22,Hà Nam,1
22,Hà Nội,24
22,Hà Tĩnh,1
22,Hưng Yên,2
22,Hải Phòng,6
22,Hồ Chí Minh,114
22,Long An,12
22,Nam Định,2
22,Nghệ An,3
22,Ninh Bình,3
22,Phú Thọ,1
22,Quảng Ngãi,2
22,Quảng Ninh,2
22,Quảng Trị,1
22,TP Hà Nội,1
22,Thanh Hóa,2
22,Tây Ninh,12
22,Vĩnh Phúc,2
22,Đà Nẵng,1
22,Đồng Nai,9
22,Đồng Tháp,2
25,An Giang,3
25,Bà Rịa - Vũng Tàu,3
25,Bình Dương,11
25,Bình Phước,1
25,Bình Định,1
25,Bắc Ninh,7
25,Cần Thơ,4
25,Gia Lai,3
25,Hà Nội,27
25,Hòa Bình,2
25,Hưng Yên,6
25,Hải Dương,1
25,Hải Phòng,5
25,Hồ Chí Minh,83
25,Khánh Hòa,2
25,Kiên Giang,2
25,Long An,4
25,Lào Cai,1
25,Lâm Đồng,2
25,Nam Định,3
25,Nghệ An,2
25,Ninh Bình,3
25,Ninh Thuận,2
25,Phú Thọ,6
25,Quảng Nam,2
25,Quảng Ngãi,1
25,Quảng Ninh,5
25,Quảng Trị,1
25,Sóc Trăng,3
25,Thanh Hóa,2
25,Thái Bình,2
25,Thái Nguyên,4
25,Tây Ninh,6
25,Vĩnh Long,2
25,Vĩnh Phúc,4
25,Đà Nẵng,6
25,Đắk Lắk,4
25,Đắk Nông,1
25,Đồng Nai,22
25,Đồng Tháp,1
